,date,hour,h,FRACDF
0,2019/12/25,1,0,0
1,2019/12/25,3,0,0
2,2019/12/25,5,0,0
3,2019/12/25,7,0.043047048,0.144339688
4,2019/12/25,9,0.322947383,0.190994082
5,2019/12/25,11,0.519804754,0.074771852
6,2019/12/25,13,0.504193442,0.074998506
7,2019/12/25,15,0.283786182,0.132360162
8,2019/12/25,17,0.019308757,0.211514512
9,2019/12/25,19,0,0
10,2019/12/25,21,0,0
11,2019/12/25,23,0,0
12,2019/12/26,1,0,0
13,2019/12/26,3,0,0
14,2019/12/26,5,0,0
15,2019/12/26,7,0.042466006,0.473323229
16,2019/12/26,9,0.322155257,0.874313463
17,2019/12/26,11,0.519840909,0.876248447
18,2019/12/26,13,0.505183916,0.891383836
19,2019/12/26,15,0.285392927,0.943905613
20,2019/12/26,17,0.020172372,0.488591719
21,2019/12/26,19,0,0
22,2019/12/26,21,0,0
23,2019/12/26,23,0,0
24,2019/12/27,1,0,0
25,2019/12/27,3,0,0
26,2019/12/27,5,0,0
27,2019/12/27,7,0.041930738,0.325680176
28,2019/12/27,9,0.321473712,0.438898256
29,2019/12/27,11,0.520006604,0.133486829
30,2019/12/27,13,0.506299952,0.183179725
31,2019/12/27,15,0.287100761,0.122670823
32,2019/12/27,17,0.021076886,0.128722637
33,2019/12/27,19,0,0
34,2019/12/27,21,0,0
35,2019/12/27,23,0,0
36,2019/12/28,1,0,0
37,2019/12/28,3,0,0
38,2019/12/28,5,0,0
39,2019/12/28,7,0.041441948,0.126688051
40,2019/12/28,9,0.320903793,0.098062648
41,2019/12/28,11,0.520302044,0.053892942
42,2019/12/28,13,0.507540833,0.057109802
43,2019/12/28,15,0.288908189,0.141435415
44,2019/12/28,17,0.022021591,0.010629354
45,2019/12/28,19,0,0
46,2019/12/28,21,0,0
47,2019/12/28,23,0,0
48,2019/12/29,1,0,0
49,2019/12/29,3,0,0
50,2019/12/29,5,0,0
51,2019/12/29,7,0.041000294,0.140970757
52,2019/12/29,9,0.320446456,0.09917922
53,2019/12/29,11,0.52072737,0.060968669
54,2019/12/29,13,0.508905817,0.120661045
55,2019/12/29,15,0.290813719,0.770503244
56,2019/12/29,17,0.023005766,0.474637149
57,2019/12/29,19,0,0
58,2019/12/29,21,0,0
59,2019/12/29,23,0,0
60,2019/12/30,1,0,0
61,2019/12/30,3,0,0
62,2019/12/30,5,0,0
63,2019/12/30,7,0.040606382,0.489509941
64,2019/12/30,9,0.320102548,0.984232801
65,2019/12/30,11,0.521282646,0.985243164
66,2019/12/30,13,0.510394125,0.967910279
67,2019/12/30,15,0.292815866,0.975795712
68,2019/12/30,17,0.024028683,0.491239722
69,2019/12/30,19,0,0
70,2019/12/30,21,0,0
71,2019/12/30,23,0,0
72,2019/12/31,1,0,0
73,2019/12/31,3,0,0
74,2019/12/31,5,0,0
75,2019/12/31,7,0.04026076,0.193593613
76,2019/12/31,9,0.319872803,0.8178795
77,2019/12/31,11,0.521967855,0.9827141
78,2019/12/31,13,0.512004943,0.180846411
79,2019/12/31,15,0.294913142,0.177194637
80,2019/12/31,17,0.025089604,0.20359299
81,2019/12/31,19,0,0
82,2019/12/31,21,0,0
83,2019/12/31,23,0,0
84,2020/1/1,1,0,0
85,2020/1/1,3,0,0
86,2020/1/1,5,0,0
87,2020/1/1,7,0.039963923,0.109921602
88,2020/1/1,9,0.319759739,0.28073488
89,2020/1/1,11,0.522784502,0.627656936
90,2020/1/1,13,0.513735549,0.550812149
91,2020/1/1,15,0.297099636,0.234194405
92,2020/1/1,17,0.026185147,0.099140436
93,2020/1/1,19,0,0
94,2020/1/1,21,0,0
95,2020/1/1,23,0,0
96,2020/1/2,1,0,0
97,2020/1/2,3,0,0
98,2020/1/2,5,0,0
99,2020/1/2,7,0.039718966,0.089171612
100,2020/1/2,9,0.319762475,0.221994138
101,2020/1/2,11,0.523729215,0.388901278
102,2020/1/2,13,0.51558877,0.401243735
103,2020/1/2,15,0.299382668,0.527392369
104,2020/1/2,17,0.027319798,0.351559709
105,2020/1/2,19,0,0
106,2020/1/2,21,0,0
107,2020/1/2,23,0,0
108,2020/1/3,1,0,0
109,2020/1/3,3,0,0
110,2020/1/3,5,0,0
111,2020/1/3,7,0.039521002,0.289318612
112,2020/1/3,9,0.319878561,0.621117499
113,2020/1/3,11,0.524803317,0.636790674
114,2020/1/3,13,0.517561769,0.842134488
115,2020/1/3,15,0.301756281,0.513698391
116,2020/1/3,17,0.028490145,0.449808629
117,2020/1/3,19,0,0
118,2020/1/3,21,0,0
119,2020/1/3,23,0,0
120,2020/1/4,1,0,0
121,2020/1/4,3,0,0
122,2020/1/4,5,0,0
123,2020/1/4,7,0.039373035,0.205111111
124,2020/1/4,9,0.320110692,0.711825207
125,2020/1/4,11,0.526006462,0.137807592
126,2020/1/4,13,0.519653526,0.633804052
127,2020/1/4,15,0.304218907,0.672011929
128,2020/1/4,17,0.029695381,0.369243052
