,date,hour,pressure_ground,pressure_sealevel,precipitation_rain,temperature_air,temperature_condensation,pressure_vapor,humidity_relative,wind_speed,wind_direction,hour_radiation,radiation_solar,precipitation_snow,height_snow,year,month,day,timestamp,h,P,FRACDF
0,2020-06-01,0,1007.8,1014.4,0.0,18.8,15.9,18.0,83.0,2.0,0.0,0.0,0.0,0.0,0.0,2020,6,1,2020-06-01 00:30:00+09:00,,,
1,2020-06-01,1,1007.5,1014.1,0.0,18.6,16.2,18.4,86.0,2.9,0.0,0.0,0.0,0.0,0.0,2020,6,1,2020-06-01 01:30:00+09:00,,,
2,2020-06-01,2,1007.3,1013.9,0.0,18.5,16.1,18.3,86.0,1.8,0.0,0.0,0.0,0.0,0.0,2020,6,1,2020-06-01 02:30:00+09:00,,,
3,2020-06-01,3,1006.7,1013.3,0.0,18.4,16.0,18.2,86.0,1.8,0.0,0.0,0.0,0.0,0.0,2020,6,1,2020-06-01 03:30:00+09:00,,,
4,2020-06-01,4,1007.4,1014.0,0.0,18.4,16.2,18.4,87.0,2.3,0.0,0.0,0.0,0.0,0.0,2020,6,1,2020-06-01 04:30:00+09:00,,,
5,2020-06-01,5,1007.2,1013.8,0.0,18.7,16.0,18.1,84.0,2.5,0.0,0.0,41.666666666666664,0.0,0.0,2020,6,1,2020-06-01 05:30:00+09:00,0.15290686047541632,0.5831057751039956,0.8553179614207949
6,2020-06-01,6,1007.4,1014.0,0.0,19.2,16.1,18.2,82.0,2.1,0.0,0.0,113.88888888888889,0.0,0.0,2020,6,1,2020-06-01 06:30:00+09:00,0.3563985150785935,0.3123102431376599,0.8510344750357434
7,2020-06-01,7,1006.6,1013.2,0.0,21.1,15.9,18.0,72.0,2.4,0.0,0.7,383.3333333333333,0.0,0.0,2020,6,1,2020-06-01 07:30:00+09:00,0.5670936382756318,0.4795268201871548,0.5126844306748831
8,2020-06-01,8,1006.3,1012.8,0.0,22.4,15.5,17.6,65.0,1.1,0.0,0.9,555.5555555555555,0.0,0.0,2020,6,1,2020-06-01 08:30:00+09:00,0.7807168860782601,0.4383612817249605,0.46389313855493575
9,2020-06-01,9,1005.4,1011.9,0.0,23.5,16.1,18.2,63.0,1.7,0.0,0.2,544.4444444444445,0.0,0.0,2020,6,1,2020-06-01 09:30:00+09:00,0.9922673090649291,0.2140943854912026,0.6666784422097651
10,2020-06-01,10,1004.8,1011.3,0.0,24.1,16.6,18.9,63.0,2.0,0.0,0.0,450.0,0.0,0.0,2020,6,1,2020-06-01 10:30:00+09:00,1.1903435578927275,0.07407985425047328,0.8291254691122586
11,2020-06-01,11,1004.0,1010.5,0.0,24.3,16.1,18.2,60.0,1.8,0.0,0.1,488.8888888888889,0.0,0.0,2020,6,1,2020-06-01 11:30:00+09:00,1.3304341166732014,0.07097114336588486,0.8219062246999771
12,2020-06-01,12,1003.5,1009.9,0.0,24.8,17.0,19.4,62.0,1.5,0.0,0.1,513.8888888888889,0.0,0.0,2020,6,1,2020-06-01 12:30:00+09:00,1.296524124019221,0.08697640692191601,0.7975775323348373
13,2020-06-01,13,1003.6,1010.0,0.0,24.7,17.2,19.6,63.0,2.8,0.0,0.0,266.6666666666667,0.0,0.0,2020,6,1,2020-06-01 13:30:00+09:00,1.1271800208920906,0.022027790249523935,0.93228731473747
14,2020-06-01,14,1002.8,1009.2,0.0,24.9,17.4,19.8,63.0,2.3,0.0,0.0,308.3333333333333,0.0,0.0,2020,6,1,2020-06-01 14:30:00+09:00,0.9224176125229127,0.0693251232483035,0.8759208470231129
15,2020-06-01,15,1002.9,1009.3,0.0,24.7,17.7,20.2,65.0,3.8,0.0,0.0,322.22222222222223,0.0,0.0,2020,6,1,2020-06-01 15:30:00+09:00,0.7095023425208518,0.19588514369991147,0.7738556284463303
16,2020-06-01,16,1002.3,1008.7,0.0,24.6,18.1,20.7,67.0,2.1,0.0,0.0,258.3333333333333,0.0,0.0,2020,6,1,2020-06-01 16:30:00+09:00,0.4965085590846753,0.36949751516779183,0.6884629475657227
17,2020-06-01,17,1002.4,1008.9,0.0,23.5,18.2,20.9,72.0,2.8,0.0,0.0,97.22222222222223,0.0,0.0,2020,6,1,2020-06-01 17:30:00+09:00,0.28783079457398913,0.4111092449786965,0.8258600402468911
18,2020-06-01,18,1002.7,1009.2,0.0,22.7,18.3,21.0,76.0,3.1,0.0,0.0,25.0,0.0,0.0,2020,6,1,2020-06-01 18:30:00+09:00,0.0884515619167673,0.742675740356072,0.8336399894983921
19,2020-06-01,19,1002.9,1009.4,0.0,22.3,18.5,21.3,79.0,2.4,0.0,0.0,0.0,0.0,0.0,2020,6,1,2020-06-01 19:30:00+09:00,,,
20,2020-06-01,20,1003.2,1009.7,0.0,22.2,19.0,22.0,82.0,3.0,0.0,0.0,0.0,0.0,0.0,2020,6,1,2020-06-01 20:30:00+09:00,,,
21,2020-06-01,21,1003.3,1009.8,0.0,21.9,19.5,22.6,86.0,2.9,0.0,0.0,0.0,0.0,0.0,2020,6,1,2020-06-01 21:30:00+09:00,,,
22,2020-06-01,22,1002.8,1009.3,0.0,21.5,19.4,22.6,88.0,2.3,0.0,0.0,0.0,0.0,0.0,2020,6,1,2020-06-01 22:30:00+09:00,,,
