date,temperature
2023/6/1,20
2023/6/2,20
2023/6/3,20
2023/6/4,20
2023/6/5,20
2023/6/6,20
2023/6/7,20
2023/6/8,20
2023/6/9,20
2023/6/10,20
2023/6/11,20
2023/6/12,20
2023/6/13,20
2023/6/14,20
2023/6/15,20
2023/6/16,20
2023/6/17,20
2023/6/18,20
2023/6/19,20
2023/6/20,20
2023/6/21,20
2023/6/22,20
2023/6/23,20
2023/6/24,20
2023/6/25,20
2023/6/26,20
2023/6/27,20
2023/6/28,20
2023/6/29,20
2023/6/30,20
2023/7/1,20
2023/7/2,20
2023/7/3,20
2023/7/4,20
2023/7/5,20
2023/7/6,20
2023/7/7,20
2023/7/8,20
2023/7/9,20
2023/7/10,20
2023/7/11,20
2023/7/12,20
2023/7/13,20
2023/7/14,20
2023/7/15,20
2023/7/16,20
2023/7/17,20
2023/7/18,20
2023/7/19,20
2023/7/20,20
2023/7/21,20
2023/7/22,20
2023/7/23,20
2023/7/24,20
2023/7/25,20
2023/7/26,20
2023/7/27,20
2023/7/28,20
2023/7/29,20
2023/7/30,20
2023/7/31,20
2023/8/1,20
2023/8/2,20
2023/8/3,20
2023/8/4,20
2023/8/5,20
2023/8/6,20
2023/8/7,20
2023/8/8,20
2023/8/9,20
2023/8/10,20
2023/8/11,20
2023/8/12,20
2023/8/13,20
2023/8/14,20
2023/8/15,20
2023/8/16,20
2023/8/17,20
2023/8/18,20
2023/8/19,20
2023/8/20,20
2023/8/21,20
2023/8/22,20
2023/8/23,20
2023/8/24,20
2023/8/25,20
2023/8/26,20
2023/8/27,20
2023/8/28,20
2023/8/29,20
2023/8/30,20
2023/8/31,20
2023/9/1,20
2023/9/2,20
2023/9/3,20
2023/9/4,20
2023/9/5,20
2023/9/6,20
2023/9/7,20
2023/9/8,20
2023/9/9,20
2023/9/10,20
2023/9/11,20
2023/9/12,20
2023/9/13,20
2023/9/14,20
2023/9/15,20
2023/9/16,20
2023/9/17,20
2023/9/18,20
2023/9/19,20
2023/9/20,20
2023/9/21,20
2023/9/22,20
2023/9/23,20
2023/9/24,20
2023/9/25,20
2023/9/26,20
2023/9/27,20
2023/9/28,20
2023/9/29,20
2023/9/30,20
2023/10/1,20
2023/10/2,20
2023/10/3,20
2023/10/4,20
2023/10/5,20
2023/10/6,20
2023/10/7,20
2023/10/8,20
2023/10/9,20
2023/10/10,20
2023/10/11,20
2023/10/12,20
2023/10/13,20
2023/10/14,20
2023/10/15,20
2023/10/16,20
2023/10/17,20
2023/10/18,20
2023/10/19,20
2023/10/20,20
2023/10/21,20
2023/10/22,20
2023/10/23,20
2023/10/24,20
2023/10/25,20
2023/10/26,20
2023/10/27,20
2023/10/28,20
2023/10/29,20
2023/10/30,20
2023/10/31,20
2023/11/1,20
2023/11/2,20
2023/11/3,20
2023/11/4,20
2023/11/5,20
2023/11/6,20
2023/11/7,20
2023/11/8,20
2023/11/9,20
2023/11/10,20
2023/11/11,20
2023/11/12,20
2023/11/13,20
2023/11/14,20
2023/11/15,20
2023/11/16,20
2023/11/17,20
2023/11/18,20
2023/11/19,20
2023/11/20,20
2023/11/21,20
2023/11/22,20
2023/11/23,20
2023/11/24,20
2023/11/25,20
2023/11/26,20
2023/11/27,20
2023/11/28,20
2023/11/29,20
2023/11/30,20
2023/12/1,20
2023/12/2,20
2023/12/3,20
2023/12/4,20
2023/12/5,20
2023/12/6,20
2023/12/7,20
2023/12/8,20
2023/12/9,20
2023/12/10,20
2023/12/11,20
2023/12/12,20
2023/12/13,20
2023/12/14,20
2023/12/15,20
2023/12/16,20
2023/12/17,20
2023/12/18,20
2023/12/19,20
2023/12/20,20
2023/12/21,20
2023/12/22,20
2023/12/23,20
2023/12/24,20
2023/12/25,20
2023/12/26,20
2023/12/27,20
2023/12/28,20
2023/12/29,20
2023/12/30,20
2023/12/31,20
