truss,1,2,3,4,5,6,7
1,None,None,None,None,None,None,None
2,None,None,None,None,None,None,None
3,None,None,None,None,None,None,None
4,None,None,None,None,None,None,None
5,None,1.0120641277238998,0.8990862225228001,None,None,None,None
6,0.5783900304006,0.5326777962206999,0.8280309362328,None,None,None,None
7,0.6650774796743999,0.7332905545127999,0.8517160316628,None,None,None,None
8,0.5975749576989,0.5975749576989,0.8429525463536999,None,None,None,None
9,0.4469377507641,0.4320161406432,0.6167598849971999,None,None,None,None
10,0.4573591927533,0.4573591927533,0.5326777962206999,None,None,None,None
11,0.21908713272749994,0.2103236474184,0.24182482434029998,None,None,None,None
12,0.1260047076876,0.05779163284919999,0.03836985459660001,None,None,None,None
13,0.03805252028456552,0.03757964321906896,0.03695895092968004,None,None,None,None
14,0.03564585071756507,0.034420680028973145,0.03281253690874,None,None,None,None
15,0.029410443619699283,0.026236165724431482,0.02206964982055378,None,None,None,None
16,0.01325521308484291,0.005031020121194708,None,None,None,None,None
17,None,None,None,None,None,None,None
18,None,None,None,None,None,None,None
19,None,None,None,None,None,None,None
20,None,None,None,None,None,None,None
21,None,None,None,None,None,None,None
22,None,None,None,None,None,None,None
23,None,None,None,None,None,None,None
24,None,None,None,None,None,None,None
25,None,None,None,None,None,None,None
26,None,None,None,None,None,None,None
27,None,None,None,None,None,None,None
28,None,None,None,None,None,None,None
29,None,None,None,None,None,None,None
30,None,None,None,None,None,None,None
31,None,None,None,None,None,None,None
32,None,None,None,None,None,None,None
33,None,None,None,None,None,None,None
34,None,None,None,None,None,None,None
35,None,None,None,None,None,None,None
36,None,None,None,None,None,None,None
37,None,None,None,None,None,None,None
38,None,None,None,None,None,None,None
39,None,None,None,None,None,None,None
40,None,None,None,None,None,None,None
41,None,None,None,None,None,None,None
42,None,None,None,None,None,None,None
43,None,None,None,None,None,None,None
44,None,None,None,None,None,None,None
45,None,None,None,None,None,None,None
46,None,None,None,None,None,None,None
47,None,None,None,None,None,None,None
48,None,None,None,None,None,None,None
49,None,None,None,None,None,None,None
50,None,None,None,None,None,None,None
51,None,None,None,None,None,None,None
52,None,None,None,None,None,None,None
53,None,None,None,None,None,None,None
54,None,None,None,None,None,None,None
55,None,None,None,None,None,None,None
56,None,None,None,None,None,None,None
57,None,None,None,None,None,None,None
58,None,None,None,None,None,None,None
59,None,None,None,None,None,None,None
60,None,None,None,None,None,None,None
