truss,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
4,2023-10-02,2023-10-02,2023-10-03,2023-10-03,2023-10-04,2023-10-04,2023-10-05,2023-10-05,2023-10-06,2023-10-06,2023-10-07,2023-10-07,2023-10-08,2023-10-08,2023-10-09,2023-10-09,2023-10-10,2023-10-10,2023-10-11,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
5,2023-10-09,2023-10-09,2023-10-10,2023-10-10,2023-10-11,2023-10-11,2023-10-12,2023-10-12,2023-10-13,2023-10-13,2023-10-14,2023-10-14,2023-10-15,2023-10-15,2023-10-16,2023-10-16,2023-10-17,2023-10-17,2023-10-18,2023-10-18,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
6,2023-10-16,2023-10-16,2023-10-16,2023-10-16,2023-10-17,2023-10-17,2023-10-17,2023-10-17,2023-10-18,2023-10-18,2023-10-18,2023-10-18,2023-10-19,2023-10-19,2023-10-19,2023-10-19,2023-10-20,2023-10-20,2023-10-20,2023-10-20,2023-10-21,2023-10-21,2023-10-21,2023-10-21,2023-10-22,2023-10-22,2023-10-22,2023-10-22,2023-10-23,2023-10-23,2023-10-23,2023-10-23,2023-10-24,2023-10-24,2023-10-24,2023-10-24,2023-10-25,None,None,None
7,2023-10-23,2023-10-23,2023-10-24,2023-10-24,2023-10-25,2023-10-25,2023-10-26,2023-10-26,2023-10-27,2023-10-27,2023-10-28,2023-10-28,2023-10-29,2023-10-29,2023-10-30,2023-10-30,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
8,2023-10-30,2023-10-30,2023-10-31,2023-10-31,2023-11-01,2023-11-01,2023-11-02,2023-11-02,2023-11-03,2023-11-03,2023-11-04,2023-11-04,2023-11-05,2023-11-05,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
9,2023-11-06,2023-11-07,2023-11-08,2023-11-09,2023-11-10,2023-11-11,2023-11-12,2023-11-13,2023-11-14,2023-11-15,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10,2023-11-13,2023-11-13,2023-11-14,2023-11-14,2023-11-15,2023-11-15,2023-11-16,2023-11-16,2023-11-17,2023-11-17,2023-11-18,2023-11-18,2023-11-19,2023-11-19,2023-11-20,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
