"truss","1","2","3","4","5","6","7"
1,0.966495957211469,0.89978092656478,0.833464098264258,0.767453740510391,0.701659300382343,0.635991051541617,0.570359747022458
2,0.504676274902224,0.438851314655598,0.37279499199879,NA,NA,NA,NA
3,0.306416530023656,0.239623894407117,0.172323430458103,NA,NA,NA,NA
4,0.104419489732868,0.035814043909522,0,NA,NA,NA,NA
5,NA,NA,NA,NA,NA,NA,NA
6,NA,NA,NA,NA,NA,NA,NA
7,NA,NA,NA,NA,NA,NA,NA
8,NA,NA,NA,NA,NA,NA,NA
9,NA,NA,NA,NA,NA,NA,NA
10,NA,NA,NA,NA,NA,NA,NA
11,NA,NA,NA,NA,NA,NA,NA
12,NA,NA,NA,NA,NA,NA,NA
13,NA,NA,NA,NA,NA,NA,NA
14,NA,NA,NA,NA,NA,NA,NA
15,NA,NA,NA,NA,NA,NA,NA
16,NA,NA,NA,NA,NA,NA,NA
17,NA,NA,NA,NA,NA,NA,NA
18,NA,NA,NA,NA,NA,NA,NA
19,NA,NA,NA,NA,NA,NA,NA
20,NA,NA,NA,NA,NA,NA,NA
21,NA,NA,NA,NA,NA,NA,NA
22,NA,NA,NA,NA,NA,NA,NA
23,NA,NA,NA,NA,NA,NA,NA
24,NA,NA,NA,NA,NA,NA,NA
25,NA,NA,NA,NA,NA,NA,NA
26,NA,NA,NA,NA,NA,NA,NA
27,NA,NA,NA,NA,NA,NA,NA
28,NA,NA,NA,NA,NA,NA,NA
29,NA,NA,NA,NA,NA,NA,NA
30,NA,NA,NA,NA,NA,NA,NA
31,NA,NA,NA,NA,NA,NA,NA
32,NA,NA,NA,NA,NA,NA,NA
33,NA,NA,NA,NA,NA,NA,NA
34,NA,NA,NA,NA,NA,NA,NA
35,NA,NA,NA,NA,NA,NA,NA
36,NA,NA,NA,NA,NA,NA,NA
37,NA,NA,NA,NA,NA,NA,NA
38,NA,NA,NA,NA,NA,NA,NA
39,NA,NA,NA,NA,NA,NA,NA
40,NA,NA,NA,NA,NA,NA,NA
