truss,1,2,3,4,5,6,7
1,None,None,None,None,None,None,None
2,None,None,None,None,None,None,None
3,None,None,None,None,None,None,None
4,None,None,None,None,None,None,None
5,None,79.33333333333334,77.0,None,None,None,None
6,74.66666666666667,72.33333333333334,70.0,None,None,None,None
7,67.66666666666667,65.33333333333334,63.00000000000001,None,None,None,None
8,60.66666666666667,58.333333333333336,56.0,None,None,None,None
9,53.66666666666667,51.333333333333336,49.0,None,None,None,None
10,46.66666666666667,44.333333333333336,42.0,None,None,None,None
11,39.66666666666667,37.333333333333336,35.0,None,None,None,None
12,32.66666666666667,30.333333333333336,28.0,None,None,None,None
13,25.666666666666668,23.333333333333336,21.0,None,None,None,None
14,18.666666666666668,16.333333333333336,14.0,None,None,None,None
15,11.666666666666668,9.333333333333334,7.0,None,None,None,None
16,4.666666666666667,2.3333333333333335,None,None,None,None,None
17,None,None,None,None,None,None,None
18,None,None,None,None,None,None,None
19,None,None,None,None,None,None,None
20,None,None,None,None,None,None,None
21,None,None,None,None,None,None,None
22,None,None,None,None,None,None,None
23,None,None,None,None,None,None,None
24,None,None,None,None,None,None,None
25,None,None,None,None,None,None,None
26,None,None,None,None,None,None,None
27,None,None,None,None,None,None,None
28,None,None,None,None,None,None,None
29,None,None,None,None,None,None,None
30,None,None,None,None,None,None,None
31,None,None,None,None,None,None,None
32,None,None,None,None,None,None,None
33,None,None,None,None,None,None,None
34,None,None,None,None,None,None,None
35,None,None,None,None,None,None,None
36,None,None,None,None,None,None,None
37,None,None,None,None,None,None,None
38,None,None,None,None,None,None,None
39,None,None,None,None,None,None,None
40,None,None,None,None,None,None,None
41,None,None,None,None,None,None,None
42,None,None,None,None,None,None,None
43,None,None,None,None,None,None,None
44,None,None,None,None,None,None,None
45,None,None,None,None,None,None,None
46,None,None,None,None,None,None,None
47,None,None,None,None,None,None,None
48,None,None,None,None,None,None,None
49,None,None,None,None,None,None,None
50,None,None,None,None,None,None,None
51,None,None,None,None,None,None,None
52,None,None,None,None,None,None,None
53,None,None,None,None,None,None,None
54,None,None,None,None,None,None,None
55,None,None,None,None,None,None,None
56,None,None,None,None,None,None,None
57,None,None,None,None,None,None,None
58,None,None,None,None,None,None,None
59,None,None,None,None,None,None,None
60,None,None,None,None,None,None,None
