day,
2006/7/1,9.338930235
2006/7/2,2.872446615
2006/7/3,9.405805005
2006/7/4,8.19926541
2006/7/5,5.97892761
2006/7/6,-0.983097945
2006/7/7,3.250432215
2006/7/8,5.416159365
2006/7/9,4.58447751
2006/7/10,2.21125248
2006/7/11,0.84246957
2006/7/12,6.40749033
2006/7/13,6.21096561
2006/7/14,0.07501023
2006/7/15,6.7082913
2006/7/16,6.27014079
2006/7/17,6.39176436
2006/7/18,6.14598417
2006/7/19,2.303272395
2006/7/20,7.56801162
2006/7/21,6.11311311
2006/7/22,6.981196095
2006/7/23,8.88484941
2006/7/24,2.20703688
2006/7/25,6.15624075
2006/7/26,7.028584695
2006/7/27,13.50246578
2006/7/28,4.73113935
2006/7/29,8.05922253
2006/7/30,-1.15974162
2006/7/31,6.027521805
2006/8/1,11.38016876
2006/8/2,4.85839476
2006/8/3,-0.41023827
2006/8/4,1.5465762
2006/8/5,7.34033808
2006/8/6,10.57080929
2006/8/7,6.444574335
2006/8/8,8.661166785
2006/8/9,10.01654496
2006/8/10,8.480944035
2006/8/11,13.8911747
2006/8/12,8.256362355
2006/8/13,14.65088081
2006/8/14,15.16362818
2006/8/15,10.68100862
2006/8/16,15.1104497
2006/8/17,12.68791439
2006/8/18,18.40667427
2006/8/19,16.65454433
2006/8/20,8.601710715
2006/8/21,7.661730285
2006/8/22,11.69941118
2006/8/23,1.135032165
2006/8/24,10.63545408
2006/8/25,13.95167409
2006/8/26,15.12703553
2006/8/27,14.16390566
2006/8/28,18.04102601
2006/8/29,4.46880744
2006/8/30,15.72779601
2006/8/31,12.6933156
2006/9/1,1.629846855
2006/9/2,14.65641446
2006/9/3,12.58088643
2006/9/4,11.94126152
2006/9/5,2.56986333
2006/9/6,13.38669941
2006/9/7,8.783334045
2006/9/8,13.91611325
2006/9/9,0.68228154
2006/9/10,12.49282674
2006/9/11,17.81985461
2006/9/12,14.92436759
2006/9/13,0.724514535
2006/9/14,17.89299522
2006/9/15,0.465981255
2006/9/16,13.8393963
2006/9/17,16.91431524
2006/9/18,13.14303894
2006/9/19,6.0715944
2006/9/20,18.43022214
2006/9/21,16.41965198
2006/9/22,20.60496252
2006/9/23,17.21552526
2006/9/24,18.56320889
2006/9/25,22.76356275
2006/9/26,24.18198593
2006/9/27,15.82068915
2006/9/28,19.50845346
2006/9/29,18.07896137
2006/9/30,21.85656687
2006/10/1,21.31446173
2006/10/2,1.376053695
2006/10/3,7.274971575
2006/10/4,16.76631654
2006/10/5,8.604359235
2006/10/6,3.199062375
2006/10/7,1.017165915
2006/10/8,18.11015199
2006/10/9,16.99810848
2006/10/10,18.46908243
2006/10/11,18.52695383
2006/10/12,21.09298491
2006/10/13,27.1865075
2006/10/14,23.82639102
2006/10/15,25.78467843
2006/10/16,25.03558026
2006/10/17,27.21016485
2006/10/18,8.67517209
2006/10/19,2.698618815
2006/10/20,24.10660125
2006/10/21,20.35581692
2006/10/22,18.74437893
2006/10/23,0.77778729
2006/10/24,15.02660691
2006/10/25,18.4315586
2006/10/26,5.197554765
2006/10/27,22.37929173
2006/10/28,25.38739548
2006/10/29,24.11092314
2006/10/30,25.34743841
2006/10/31,29.20415265
2006/11/1,25.00064708
2006/11/2,28.02504029
2006/11/3,29.66828562
2006/11/4,31.32269726
2006/11/5,32.68742198
2006/11/6,30.45434621
2006/11/7,29.78904987
2006/11/8,23.78344239
2006/11/9,29.51740859
2006/11/10,26.19384156
2006/11/11,6.887595645
2006/11/12,23.24443743
2006/11/13,23.12997008
2006/11/14,13.64496845
2006/11/15,15.04074029
2006/11/16,28.99740564
2006/11/17,33.4616445
2006/11/18,30.97743647
2006/11/19,31.7248835
2006/11/20,20.40097428
2006/11/21,2.801729925
2006/11/22,33.44176584
2006/11/23,21.12270611
2006/11/24,25.32049884
2006/11/25,25.15765302
2006/11/26,21.26382494
2006/11/27,20.86860803
2006/11/28,22.95047088
2006/11/29,21.17971152
2006/11/30,24.26173025
2006/12/1,13.39276631
2006/12/2,27.27668372
2006/12/3,30.83645511
2006/12/4,30.622271
2006/12/5,25.20810212
2006/12/6,13.38831864
2006/12/7,30.20409117
2006/12/8,13.58307126
2006/12/9,0.366867855
2006/12/10,14.71990379
2006/12/11,1.0077354
2006/12/12,11.28473577
2006/12/13,9.45785835
2006/12/14,1.01122272
2006/12/15,3.086075475
2006/12/16,7.478199675
2006/12/17,8.613425385
2006/12/18,20.78628273
2006/12/19,7.54511742
2006/12/20,6.71034897
2006/12/21,27.0914702
2006/12/22,-1.628373645
2006/12/23,10.01622119
2006/12/24,14.63599071
2006/12/25,8.63858043
2006/12/26,12.13075062
2006/12/27,10.59218307
2006/12/28,13.8544907
2006/12/29,22.24905557
2006/12/30,5.144534955
2006/12/31,11.68075724
2007/1/1,11.21823761
2007/1/2,9.90937386
2007/1/3,10.2511769
2007/1/4,10.24671416
2007/1/5,15.60740562
2007/1/6,13.61018507
2007/1/7,13.18414095
2007/1/8,11.40863058
2007/1/9,12.19287582
2007/1/10,9.719767845
,
2007/1/11,10.56114653
2007/1/12,10.13207958
2007/1/13,11.21435919
2007/1/14,15.15740364
2007/1/15,10.24963344
2007/1/16,13.1642649
2007/1/17,10.68975432
2007/1/18,13.09041365
2007/1/19,11.55267405
2007/1/20,2.406680685
2007/1/21,11.48176899
2007/1/22,0.105153885
2007/1/23,13.54785516
2007/1/24,14.02205081
2007/1/25,13.42283693
2007/1/26,15.44330219
2007/1/27,13.27910477
2007/1/28,14.77866884
2007/1/29,12.22517898
2007/1/30,10.78826409
2007/1/31,11.25588825
2007/2/1,10.32387507
2007/2/2,11.07769419
2007/2/3,10.94491332
2007/2/4,11.32649217
2007/2/5,8.554646835
2007/2/6,10.91932938
2007/2/7,12.47540495
2007/2/8,14.27004792
2007/2/9,11.99483649
2007/2/10,8.925263685
2007/2/11,12.39013692
2007/2/12,11.47199778
2007/2/13,12.71952198
2007/2/14,8.96763114
2007/2/15,2.95381476
2007/2/16,3.68345583
2007/2/17,4.831167555
2007/2/18,10.06652259
2007/2/19,11.3922977
2007/2/20,19.54634342
2007/2/21,12.65532111
2007/2/22,8.69782878
2007/2/23,12.10807008
2007/2/24,15.09224445
2007/2/25,10.21043511
2007/2/26,12.37669754
2007/2/27,1.90579707
2007/2/28,6.41323485
2007/3/1,8.508976605
2007/3/2,10.69812365
2007/3/3,12.59123733
2007/3/4,13.96424997
2007/3/5,9.287626185
2007/3/6,4.937756715
2007/3/7,12.23031587
2007/3/8,12.28377735
2007/3/9,11.92483377
2007/3/10,9.67109706
2007/3/11,9.82937268
2007/3/12,12.43139756
2007/3/13,7.918792695
2007/3/14,26.0554293
2007/3/15,12.79509719
2007/3/16,4.84859232
2007/3/17,4.195517175
2007/3/18,5.280366285
2007/3/19,13.90624641
2007/3/20,12.12497334
2007/3/21,12.29417271
2007/3/22,6.197344245
2007/3/23,12.63010037
2007/3/24,9.07313445
2007/3/25,11.16269825
2007/3/26,8.380745235
2007/3/27,7.60662972
2007/3/28,7.648732035
2007/3/29,13.43206071
2007/3/30,14.15474415
2007/3/31,14.00714483
2007/4/1,12.32705943
2007/4/2,9.99530145
2007/4/3,8.8339851
2007/4/4,12.99892257
2007/4/5,12.79691352
2007/4/6,14.06333426
2007/4/7,12.30798807
2007/4/8,13.24390001
2007/4/9,10.13930762
2007/4/10,19.51009358
2007/4/11,18.08079449
2007/4/12,14.88847505
2007/4/13,13.61038968
2007/4/14,18.27645917
