,date,hour,h,FRACDF,PAR,solar radiation,Temperature inside chamber,CO2 concentration air sampling average
0,2019/12/25,1,0,0,0,0,17.39298169,783.1147343
1,2019/12/25,3,0,0,0,0,17.61333082,860.5925926
2,2019/12/25,5,0,0,0,0,18.77874748,919.0905797
3,2019/12/25,7,0.043047048,0.144339688,2.10894845,4.439891474,20.45042194,956.3997585
4,2019/12/25,9,0.322947383,0.190994082,68.95582386,145.1701555,23.69988923,665.2650463
5,2019/12/25,11,0.519804754,0.074771852,201.2307636,423.6437128,27.0874903,430.1630435
6,2019/12/25,13,0.504193442,0.074998506,97.58013792,205.4318693,28.58660057,435.1990741
7,2019/12/25,15,0.283786182,0.132360162,41.32603111,87.00217076,26.90729286,475.4070048
8,2019/12/25,17,0.019308757,0.211514512,4.210092287,8.863352184,22.50855649,500.9388889
9,2019/12/25,19,0,0,0,0,20.56753303,590.0442029
10,2019/12/25,21,0,0,0,0,17.95527473,635.8804348
11,2019/12/25,23,0,0,0,0,17.82230409,743.0787037
12,2019/12/26,1,0,0,0,0,17.80895627,838.9432367
13,2019/12/26,3,0,0,0,0,17.95087321,918.4594907
14,2019/12/26,5,0,0,0,0,18.96901178,980.884058
15,2019/12/26,7,0.042466006,0.473323229,0.819053623,1.724323417,21.14348627,1006.551932
16,2019/12/26,9,0.322155257,0.874313463,9.780629862,20.59079971,22.10276036,689.8923611
17,2019/12/26,11,0.519840909,0.876248447,51.4956915,108.4119821,23.74221748,507.955314
18,2019/12/26,13,0.505183916,0.891383836,74.38261845,156.5949862,25.25531935,400.8019324
19,2019/12/26,15,0.285392927,0.943905613,25.13825987,52.92265235,23.26899234,421.8298611
20,2019/12/26,17,0.020172372,0.488591719,1.443812589,3.039605451,21.86109093,482.7826087
21,2019/12/26,19,0,0,0,0,20.14518768,567.9166667
22,2019/12/26,21,0,0,0,0,18.54910075,581.4202899
23,2019/12/26,23,0,0,0,0,18.21145203,603.339372
24,2019/12/27,1,0,0,0,0,18.08675052,695.1863426
25,2019/12/27,3,0,0,0,0,18.03134759,788.4601449
26,2019/12/27,5,0,0,0,0,19.05908252,831.8055556
27,2019/12/27,7,0.041930738,0.325680176,2.384838295,5.0207122,21.18019786,775.115942
28,2019/12/27,9,0.321473712,0.438898256,67.38719579,141.8677806,22.05598356,519.0217391
29,2019/12/27,11,0.520006604,0.133486829,198.1706947,417.2014626,24.78743165,392.3842593
30,2019/12/27,13,0.506299952,0.183179725,91.24873747,192.1026052,26.32519733,429.0169082
31,2019/12/27,15,0.287100761,0.122670823,49.68651824,104.6031963,26.16067834,470.6630435
32,2019/12/27,17,0.021076886,0.128722637,12.84144396,27.03461887,22.23879154,426.7696759
33,2019/12/27,19,0,0,0,0,18.95421917,513.7838164
34,2019/12/27,21,0,0,0,0,17.70794424,602.287037
35,2019/12/27,23,0,0,0,0,17.58610933,693.9601449
36,2019/12/28,1,0,0,0,0,17.54185567,774.3019324
37,2019/12/28,3,0,0,0,0,17.62258358,837.3414352
38,2019/12/28,5,0,0,0,0,18.73612166,900.3731884
39,2019/12/28,7,0.041441948,0.126688051,3.10171658,6.529929642,20.60591482,932.9178241
40,2019/12/28,9,0.320903793,0.098062648,64.24365885,135.2498081,22.94819796,531.5374396
41,2019/12/28,11,0.520302044,0.053892942,139.6322504,293.9626324,25.6405932,420.5451389
42,2019/12/28,13,0.507540833,0.057109802,93.11600926,196.0337037,27.2676608,438.8188406
43,2019/12/28,15,0.288908189,0.141435415,35.49140788,74.71875343,24.89108545,444.071256
44,2019/12/28,17,0.022021591,0.010629354,3.259744271,6.862619518,22.08645833,529.4918981
