## Site Characteristics
Country     = 'Netherlands'
Station     = 'Wageningen, Haarweg'
Description = 'Observed data from Station Haarweg in Wageningen'
Source      = 'Meteorology and Air Quality Group, Wageningen University'
Contact     = 'Peter Uithol'
Longitude = 5.67; Latitude = 51.97; Elevation = 7; AngstromA = 0.18; AngstromB = 0.55; HasSunshine = False
## Daily weather observations (missing values are NaN)
DAY,IRRAD,TMIN,TMAX,VAP,WIND,RAIN,SNOWDEPTH
20191225,10,18,23,1,1.8,1.2,NaN
20191226,10,18,23,1,1.8,1.2,NaN
20191227,10,18,23,1,1.7,0,NaN
20191228,10,18,23,1,3.3,0.1,NaN
20191229,10,18,23,1,2.8,0,NaN
20191230,10,18,23,1,2.7,2.9,NaN
20191231,10,18,23,1,1.3,0,NaN
20200101,10,18,23,1,2,0,NaN
20200102,10,18,23,1,1.6,1.2,NaN
20200103,10,18,23,1,3.7,4.7,NaN
20200104,10,18,23,1,4.6,5,NaN
20200105,10,18,23,1,5,0,NaN
20200106,10,18,23,1,8.2,10.1,NaN
20200107,10,18,23,1,7.8,7.9,NaN
20200108,10,18,23,1,6.3,11.1,NaN
20200109,10,18,23,1,5.2,0,NaN
20200110,10,18,23,1,5.6,1,NaN
20200111,10,18,23,1,5.7,7.9,NaN
20200112,10,18,23,1,5.3,8,NaN
20200113,10,18,23,1,8,9.2,NaN
20200114,10,18,23,1,7,11.4,NaN
20200115,10,18,23,1,3.6,0.8,NaN
20200116,10,18,23,1,4.5,10,NaN
20200117,10,18,23,1,2.9,2.3,NaN
20200118,10,18,23,1,1.4,0,NaN
20200119,10,18,23,1,1.5,0,NaN
20200120,10,18,23,1,1.7,0,NaN
20200121,10,18,23,1,0.8,0,NaN
20200122,10,18,23,1,1.1,0,NaN
20200123,10,18,23,1,1.8,0.3,NaN
20200124,10,18,23,1,2.6,5.8,NaN
20200125,10,18,23,1,3.6,0,NaN
20200126,10,18,23,1,4.4,0,NaN
20200127,10,18,23,1,2.2,0,NaN
20200128,10,18,23,1,2.5,0,NaN
20200129,10,18,23,1,2,0.1,NaN
20200130,10,18,23,1,3.5,4.5,NaN
20200131,10,18,23,1,3.2,3.1,NaN
20200201,10,18,23,1,4.6,8.7,NaN
20200202,10,18,23,1,2.4,0,NaN
20200203,10,18,23,1,0.9,0,NaN
20200204,10,18,23,1,1.9,0,NaN
20200205,10,18,23,1,1.9,0,NaN
20200206,10,18,23,1,2.7,0,NaN
20200207,10,18,23,1,1.7,0,NaN
20200208,10,18,23,1,3.8,0,NaN
20200209,10,18,23,1,3.7,0.2,NaN
20200210,10,18,23,1,2,1.8,NaN
20200211,10,18,23,1,1.8,1.6,NaN
20200212,10,18,23,1,2.1,0,NaN
20200213,10,18,23,1,3.2,0,NaN
20200214,10,18,23,1,2.5,0.3,NaN
20200215,10,18,23,1,2.6,0,NaN
20200216,10,18,23,1,3.9,1.1,NaN
20200217,10,18,23,1,4.1,3.1,NaN
20200218,10,18,23,1,5.6,0.1,NaN
20200219,10,18,23,1,4.5,0.4,NaN
20200220,10,18,23,1,3.2,0,NaN
20200221,10,18,23,1,2.1,0,NaN
20200222,10,18,23,1,2.7,1.7,NaN
20200223,10,18,23,1,6.1,12.1,NaN
20200224,10,18,23,1,8.5,7.8,NaN
20200225,10,18,23,1,7.9,1.8,NaN
20200226,10,18,23,1,4.4,9.6,NaN
20200227,10,18,23,1,1.3,0,NaN
20200228,10,18,23,1,1.5,0,NaN
20200229,10,18,23,1,1.4,0,NaN
20200301,10,18,23,1,1.7,0,NaN
20200302,10,18,23,1,1.1,0,NaN
20200303,10,18,23,1,1.8,0,NaN
20200304,10,18,23,1,1.2,0,NaN
20200305,10,18,23,1,4,0,NaN
20200306,10,18,23,1,3.7,0,NaN
20200307,10,18,23,1,4,0,NaN
20200308,10,18,23,1,3.3,0.2,NaN
20200309,10,18,23,1,4.2,0,NaN
20200310,10,18,23,1,5.5,3,NaN
20200311,10,18,23,1,5.2,9.1,NaN
20200312,10,18,23,1,4.6,4.2,NaN
20200313,10,18,23,1,3.5,8.3,NaN
20200314,10,18,23,1,2.4,3.3,NaN
20200315,10,18,23,1,1.5,0,NaN
20200316,10,18,23,1,1.9,0.3,NaN
20200317,10,18,23,1,1.3,0,NaN
20200318,10,18,23,1,1.5,0,NaN
20200319,10,18,23,1,1.5,0,NaN
20200320,10,18,23,1,1.3,0,NaN
