"truss","1","2","3","4","5","6","7"
1,0.031136049325,0.031133087697646,0.0311287818374947,0.0311228457595529,0.0311152095409277,0.0311061510182734,0.0310962250692441
2,0.0310859134346629,0.0310752013312343,0.0310634365095069,NA,NA,NA,NA
3,0.0310497800808592,0.0310345946196133,0.0310211477135093,NA,NA,NA,NA
4,0.0310135638795539,0.0310112076242573,0.0308791998225565,NA,NA,NA,NA
5,NA,NA,NA,NA,NA,NA,NA
6,NA,NA,NA,NA,NA,NA,NA
7,NA,NA,NA,NA,NA,NA,NA
8,NA,NA,NA,NA,NA,NA,NA
9,NA,NA,NA,NA,NA,NA,NA
10,NA,NA,NA,NA,NA,NA,NA
11,NA,NA,NA,NA,NA,NA,NA
12,NA,NA,NA,NA,NA,NA,NA
13,NA,NA,NA,NA,NA,NA,NA
14,NA,NA,NA,NA,NA,NA,NA
15,NA,NA,NA,NA,NA,NA,NA
16,NA,NA,NA,NA,NA,NA,NA
17,NA,NA,NA,NA,NA,NA,NA
18,NA,NA,NA,NA,NA,NA,NA
19,NA,NA,NA,NA,NA,NA,NA
20,NA,NA,NA,NA,NA,NA,NA
21,NA,NA,NA,NA,NA,NA,NA
22,NA,NA,NA,NA,NA,NA,NA
23,NA,NA,NA,NA,NA,NA,NA
24,NA,NA,NA,NA,NA,NA,NA
25,NA,NA,NA,NA,NA,NA,NA
26,NA,NA,NA,NA,NA,NA,NA
27,NA,NA,NA,NA,NA,NA,NA
28,NA,NA,NA,NA,NA,NA,NA
29,NA,NA,NA,NA,NA,NA,NA
30,NA,NA,NA,NA,NA,NA,NA
31,NA,NA,NA,NA,NA,NA,NA
32,NA,NA,NA,NA,NA,NA,NA
33,NA,NA,NA,NA,NA,NA,NA
34,NA,NA,NA,NA,NA,NA,NA
35,NA,NA,NA,NA,NA,NA,NA
36,NA,NA,NA,NA,NA,NA,NA
37,NA,NA,NA,NA,NA,NA,NA
38,NA,NA,NA,NA,NA,NA,NA
39,NA,NA,NA,NA,NA,NA,NA
40,NA,NA,NA,NA,NA,NA,NA
