,Date,Photosynthetic.rate.accu,Transpiration.rate.accu,Total.conductance.ave,Solar.radiation.accu,Vapor.pressure.deficit.gram.dayave,Vapor.pressure.deficit.gram.nightave,Temperature.outside.chamber.dayave,Temperature.outside.chamber.nightave,Temperature.inside.chamber.dayave,Temperature.inside.chamber.nightave,Year
1,2019/12/7,0.2,20,20,10,5,4,23,18,24,18,2019
2,2019/12/8,0.2,20,20,10,5,4,23,18,24,18,2019
3,2019/12/9,0.2,20,20,10,5,4,23,18,24,18,2019
4,2019/12/10,0.2,20,20,10,5,4,23,18,24,18,2019
5,2019/12/11,0.2,20,20,10,5,4,23,18,24,18,2019
6,2019/12/12,0.2,20,20,10,5,4,23,18,24,18,2019
7,2019/12/13,0.2,20,20,10,5,4,23,18,24,18,2019
8,2019/12/14,0.2,20,20,10,5,4,23,18,24,18,2019
9,2019/12/15,0.2,20,20,10,5,4,23,18,24,18,2019
10,2019/12/16,0.2,20,20,10,5,4,23,18,24,18,2019
11,2019/12/17,0.2,20,20,10,5,4,23,18,24,18,2019
12,2019/12/18,0.2,20,20,10,5,4,23,18,24,18,2019
13,2019/12/19,0.2,20,20,10,5,4,23,18,24,18,2019
14,2019/12/20,0.2,20,20,10,5,4,23,18,24,18,2019
15,2019/12/21,0.2,20,20,10,5,4,23,18,24,18,2019
16,2019/12/22,0.2,20,20,10,5,4,23,18,24,18,2019
17,2019/12/23,0.2,20,20,10,5,4,23,18,24,18,2019
18,2019/12/24,0.2,20,20,10,5,4,23,18,24,18,2019
19,2019/12/25,0.2,20,20,10,5,4,23,18,24,18,2019
20,2019/12/26,0.2,20,20,10,5,4,23,18,24,18,2019
21,2019/12/27,0.2,20,20,10,5,4,23,18,24,18,2019
22,2019/12/28,0.2,20,20,10,5,4,23,18,24,18,2019
23,2019/12/29,0.2,20,20,10,5,4,23,18,24,18,2019
24,2019/12/30,0.2,20,20,10,5,4,23,18,24,18,2019
25,2019/12/31,0.2,20,20,10,5,4,23,18,24,18,2019
26,2020/1/1,0.2,20,20,10,5,4,23,18,24,18,2019
27,2020/1/2,0.2,20,20,10,5,4,23,18,24,18,2019
28,2020/1/3,0.2,20,20,10,5,4,23,18,24,18,2019
29,2020/1/4,0.2,20,20,10,5,4,23,18,24,18,2019
30,2020/1/5,0.2,20,20,10,5,4,23,18,24,18,2019
31,2020/1/6,0.2,20,20,10,5,4,23,18,24,18,2019
32,2020/1/7,0.2,20,20,10,5,4,23,18,24,18,2019
33,2020/1/8,0.2,20,20,10,5,4,23,18,24,18,2019
34,2020/1/9,0.2,20,20,10,5,4,23,18,24,18,2019
35,2020/1/10,0.2,20,20,10,5,4,23,18,24,18,2019
36,2020/1/11,0.2,20,20,10,5,4,23,18,24,18,2019
37,2020/1/12,0.2,20,20,10,5,4,23,18,24,18,2019
38,2020/1/13,0.2,20,20,10,5,4,23,18,24,18,2019
39,2020/1/14,0.2,20,20,10,5,4,23,18,24,18,2019
40,2020/1/15,0.2,20,20,10,5,4,23,18,24,18,2019
41,2020/1/16,0.2,20,20,10,5,4,23,18,24,18,2019
42,2020/1/17,0.2,20,20,10,5,4,23,18,24,18,2019
43,2020/1/18,0.2,20,20,10,5,4,23,18,24,18,2019
44,2020/1/19,0.2,20,20,10,5,4,23,18,24,18,2019
45,2020/1/20,0.2,20,20,10,5,4,23,18,24,18,2019
46,2020/1/21,0.2,20,20,10,5,4,23,18,24,18,2019
47,2020/1/22,0.2,20,20,10,5,4,23,18,24,18,2019
48,2020/1/23,0.2,20,20,10,5,4,23,18,24,18,2019
49,2020/1/24,0.2,20,20,10,5,4,23,18,24,18,2019
50,2020/1/25,0.2,20,20,10,5,4,23,18,24,18,2019
51,2020/1/26,0.2,20,20,10,5,4,23,18,24,18,2019
52,2020/1/27,0.2,20,20,10,5,4,23,18,24,18,2019
53,2020/1/28,0.2,20,20,10,5,4,23,18,24,18,2019
54,2020/1/29,0.2,20,20,10,5,4,23,18,24,18,2019
55,2020/1/30,0.2,20,20,10,5,4,23,18,24,18,2019
56,2020/1/31,0.2,20,20,10,5,4,23,18,24,18,2019
57,2020/2/1,0.2,20,20,10,5,4,23,18,24,18,2019
58,2020/2/2,0.2,20,20,10,5,4,23,18,24,18,2019
59,2020/2/3,0.2,20,20,10,5,4,23,18,24,18,2019
60,2020/2/4,0.2,20,20,10,5,4,23,18,24,18,2019
61,2020/2/5,0.2,20,20,10,5,4,23,18,24,18,2019
62,2020/2/6,0.2,20,20,10,5,4,23,18,24,18,2019
63,2020/2/7,0.2,20,20,10,5,4,23,18,24,18,2019
64,2020/2/8,0.2,20,20,10,5,4,23,18,24,18,2019
65,2020/2/9,0.2,20,20,10,5,4,23,18,24,18,2019
66,2020/2/10,0.2,20,20,10,5,4,23,18,24,18,2019
67,2020/2/11,0.2,20,20,10,5,4,23,18,24,18,2019
68,2020/2/12,0.2,20,20,10,5,4,23,18,24,18,2019
69,2020/2/13,0.2,20,20,10,5,4,23,18,24,18,2019
70,2020/2/14,0.2,20,20,10,5,4,23,18,24,18,2019
71,2020/2/15,0.2,20,20,10,5,4,23,18,24,18,2019
72,2020/2/16,0.2,20,20,10,5,4,23,18,24,18,2019
73,2020/2/17,0.2,20,20,10,5,4,23,18,24,18,2019
74,2020/2/18,0.2,20,20,10,5,4,23,18,24,18,2019
75,2020/2/19,0.2,20,20,10,5,4,23,18,24,18,2019
76,2020/2/20,0.2,20,20,10,5,4,23,18,24,18,2019
77,2020/2/21,0.2,20,20,10,5,4,23,18,24,18,2019
78,2020/2/22,0.2,20,20,10,5,4,23,18,24,18,2019
79,2020/2/23,0.2,20,20,10,5,4,23,18,24,18,2019
80,2020/2/24,0.2,20,20,10,5,4,23,18,24,18,2019
81,2020/2/25,0.2,20,20,10,5,4,23,18,24,18,2019
82,2020/2/26,0.2,20,20,10,5,4,23,18,24,18,2019
83,2020/2/27,0.2,20,20,10,5,4,23,18,24,18,2019
84,2020/2/28,0.2,20,20,10,5,4,23,18,24,18,2019
85,2020/2/29,0.2,20,20,10,5,4,23,18,24,18,2019
